year,zip_code,num_returns_total,unemployment_returns,earned_income_credit_returns,low_income_returns,eic_ratio,unemployment_ratio,low_income_ratio,eic_ratio_scaled,unemployment_ratio_scaled,low_income_ratio_scaled,poverty_index,total_animals_count,abandoned_count,euthanasia_request_count,owner_surrender_count,public_assist_count,stray_count,wildlife_count
2013,78602,11290.0,490.0,2320.0,4250.0,0.20549158547387067,0.043401240035429584,0.37643932683790965,0.3938588721582521,0.2338066801908626,0.6090142911926522,0.47467359152699323,4182.0,0.0,31.0,828.0,244.0,2884.0,195.0
2013,78605,2180.0,80.0,470.0,820.0,0.21559633027522937,0.03669724770642202,0.3761467889908257,0.4132262996941896,0.19769162474104768,0.6085410151109915,0.4795644541364362,4182.0,0.0,31.0,828.0,244.0,2884.0,195.0
2013,78606,2540.0,70.0,450.0,1010.0,0.17716535433070865,0.027559055118110236,0.39763779527559057,0.3395669291338583,0.14846329692659385,0.6433097786976094,0.45714084821681983,4182.0,0.0,31.0,828.0,244.0,2884.0,195.0
2013,78608,250.0,0.0,40.0,90.0,0.16,0.0,0.36,0.3066666666666667,0.0,0.5824182788525684,0.4000882254836558,4182.0,0.0,31.0,828.0,244.0,2884.0,195.0
2013,78609,860.0,40.0,150.0,370.0,0.1744186046511628,0.046511627906976744,0.43023255813953487,0.3343023255813954,0.25056264066016504,0.6960425167165707,0.48871144310010123,4182.0,0.0,31.0,828.0,244.0,2884.0,195.0
2013,78610,14000.0,550.0,2020.0,4080.0,0.1442857142857143,0.039285714285714285,0.2914285714285714,0.2765476190476191,0.21163594470046082,0.4714814638330315,0.35777668176633887,4182.0,0.0,31.0,828.0,244.0,2884.0,195.0
2013,78611,5730.0,180.0,1180.0,2270.0,0.20593368237347295,0.031413612565445025,0.3961605584642234,0.3947062245491565,0.16922817091707482,0.6409198628055701,0.48295455640133444,4182.0,0.0,31.0,828.0,244.0,2884.0,195.0
2013,78612,5520.0,280.0,1250.0,2080.0,0.22644927536231885,0.050724637681159424,0.37681159420289856,0.4340277777777778,0.27325853202431044,0.6096165559648461,0.4969658033866118,4182.0,0.0,31.0,828.0,244.0,2884.0,195.0
2013,78613,33040.0,1360.0,3610.0,8940.0,0.10926150121065376,0.04116222760290557,0.2705811138014528,0.2094178773204197,0.22174490353823323,0.4377538516395918,0.31340176838582845,4182.0,0.0,31.0,828.0,244.0,2884.0,195.0
2013,78614,220.0,0.0,40.0,80.0,0.18181818181818182,0.0,0.36363636363636365,0.3484848484848485,0.0,0.588301291770271,0.42155376311480375,4182.0,0.0,31.0,828.0,244.0,2884.0,195.0
2013,78615,580.0,0.0,100.0,190.0,0.1724137931034483,0.0,0.3275862068965517,0.33045977011494254,0.0,0.5299783188792527,0.38719714004738787,4182.0,0.0,31.0,828.0,244.0,2884.0,195.0
2013,78616,3020.0,160.0,820.0,1300.0,0.271523178807947,0.052980132450331126,0.4304635761589404,0.5204194260485652,0.28540910061952574,0.6964162642644764,0.5761169707028213,4182.0,0.0,31.0,828.0,244.0,2884.0,195.0
2013,78617,8640.0,340.0,2950.0,3850.0,0.3414351851851852,0.03935185185185185,0.44560185185185186,0.6544174382716049,0.21199223416965354,0.7209073989140908,0.6400954001505285,4182.0,0.0,31.0,828.0,244.0,2884.0,195.0
2013,78618,140.0,0.0,0.0,60.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.6933550938721051,0.31200979224244735,4182.0,0.0,31.0,828.0,244.0,2884.0,195.0
2013,78619,1710.0,60.0,140.0,410.0,0.08187134502923976,0.03508771929824561,0.23976608187134502,0.15692007797270954,0.18902093944538767,0.3879004131409243,0.26407131494567404,4182.0,0.0,31.0,828.0,244.0,2884.0,195.0
2013,78620,7310.0,220.0,680.0,2030.0,0.09302325581395349,0.030095759233926128,0.2777017783857729,0.17829457364341086,0.16212876748598914,0.44927386611594233,0.29861867464030784,4182.0,0.0,31.0,828.0,244.0,2884.0,195.0
2013,78621,9620.0,380.0,2360.0,3720.0,0.24532224532224534,0.0395010395010395,0.3866943866943867,0.47020097020097024,0.21279592247334184,0.6256052198347062,0.5143923777633886,4182.0,0.0,31.0,828.0,244.0,2884.0,195.0
2013,78623,570.0,0.0,60.0,180.0,0.10526315789473684,0.0,0.3157894736842105,0.20175438596491227,0.0,0.5108932270636564,0.3206914258628559,4182.0,0.0,31.0,828.0,244.0,2884.0,195.0
2013,78624,10690.0,140.0,1680.0,4100.0,0.15715622076707203,0.013096351730589336,0.38353601496725914,0.30121608980355474,0.0705513141615619,0.6204955158755665,0.4218253539717608,4182.0,0.0,31.0,828.0,244.0,2884.0,195.0
2013,78626,11300.0,390.0,2220.0,4170.0,0.19646017699115045,0.034513274336283185,0.36902654867256635,0.3765486725663717,0.18592634884384812,0.5970216870243878,0.4566992967002267,4182.0,0.0,31.0,828.0,244.0,2884.0,195.0
2013,78628,12750.0,420.0,1370.0,3630.0,0.10745098039215686,0.03294117647058824,0.2847058823529412,0.20594771241830065,0.17745730550284633,0.46060530549778284,0.3176945886125222,4182.0,0.0,31.0,828.0,244.0,2884.0,195.0
2013,78629,5250.0,120.0,1420.0,2280.0,0.2704761904761905,0.022857142857142857,0.4342857142857143,0.5184126984126984,0.1231336405529954,0.7025998284570666,0.5617690011466938,4182.0,0.0,31.0,828.0,244.0,2884.0,195.0
2013,78631,1170.0,20.0,210.0,480.0,0.1794871794871795,0.017094017094017096,0.41025641025641024,0.344017094017094,0.09208712434518887,0.6637245343049212,0.4626924451794257,4182.0,0.0,31.0,828.0,244.0,2884.0,195.0
